T [K],RTC [¢/K]
294.61,-0.139769
320.6,-0.14013
345.25,-0.141571
367.24,-0.142651
401.22,-0.144452
440.53,-0.146974
481.18,-0.149676
509.83,-0.152197
536.48,-0.154179
567.13,-0.15688
599.78,-0.159762
655.08,-0.164986
707.72,-0.170389
756.36,-0.174712
799.67,-0.178854
839.64,-0.182817
892.28,-0.1875
923.6,-0.190742
954.91,-0.193444
999.56,-0.197406
1023.54,-0.199748
1044.86,-0.201909
1085.51,-0.205151
1107.5,-0.207313
1136.81,-0.209474
1168.8,-0.212356
1200.78,-0.215058
1251.42,-0.21938
1324.04,-0.225504
1364.02,-0.229467
1399.33,-0.232349
